# Angle of attack (°),Mach number (?),Drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?)
16.21,1.5535,0.30648,3.8269,1.1425,3.04E-04,0,0
15.94,1.5524,0.3066,3.726,1.0937,1.82E-04,0,0
15.65,1.5514,0.30672,3.6187,1.0404,2.86E-04,0,0
15.337,1.5503,0.30684,3.5042,0.98277,1.78E-04,0,0
14.997,1.5493,0.30696,3.3816,0.92085,-1.97E-04,0,0
14.626,1.5483,0.30708,3.2498,0.85428,-3.83E-04,0,0
14.218,1.5473,0.30719,3.1074,0.78327,1.53E-04,0,0
13.765,1.5464,0.3073,2.9524,0.70739,-2.26E-04,0,0
13.255,1.5455,0.30741,2.7823,0.62538,-3.76E-04,0,0
12.672,1.5446,0.30751,2.593,0.53731,2.61E-05,0,0
11.986,1.5437,0.30761,2.3784,0.44253,-1.65E-04,0,0
11.151,1.543,0.3077,2.1282,0.33873,4.95E-04,0,0
10.065,1.5424,0.30777,1.8219,0.22578,-1.92E-04,0,0
8.4695,1.5421,0.30779,1.4116,0.099296,-3.34E-04,0,0
6.1886,1.543,0.30769,0.90616,-0.0075817,2.54E-04,0,0
3.0481,1.546,0.30735,0.36358,-0.052066,4.72E-04,0,0
0.026335,1.5501,0.30687,0.00248,0.044434,-3.72E-04,0,0
2.9096,1.5543,0.30639,0.34123,0.023398,3.56E-04,0,0
5.5688,1.5577,0.30599,0.77616,0.016617,1.53E-04,0,0
7.9432,1.5596,0.30577,1.2689,0.060077,-1.93E-04,0,0
9.9491,1.5594,0.30579,1.7664,0.16488,2.03E-04,0,0
10.768,1.5584,0.30591,1.9924,0.23659,-1.35E-04,0,0
11.233,1.5574,0.30603,2.1275,0.28848,5.30E-05,0,0
11.541,1.5563,0.30615,2.2201,0.33,9.75E-05,0,0
11.756,1.5553,0.30628,2.2862,0.36301,2.50E-06,0,0
11.904,1.5542,0.30639,2.3329,0.38947,-4.45E-04,0,0
12,1.5532,0.30651,2.3644,0.41042,4.52E-04,0,0
12.055,1.5523,0.30662,2.3832,0.42643,1.94E-04,0,0
12.076,1.5513,0.30673,2.3913,0.43753,-2.46E-04,0,0
12.063,1.5504,0.30683,2.3891,0.44474,2.73E-04,0,0
12.02,1.5495,0.30694,2.3775,0.44792,2.83E-04,0,0
11.948,1.5487,0.30704,2.357,0.44624,2.23E-04,0,0
11.847,1.5478,0.30713,2.3277,0.44117,2.30E-04,0,0
11.717,1.547,0.30723,2.2897,0.4323,4.90E-04,0,0
11.555,1.5462,0.30732,2.2423,0.41891,-3.83E-04,0,0
11.361,1.5455,0.3074,2.1857,0.40169,-1.50E-04,0,0
11.131,1.5448,0.30748,2.1193,0.38133,3.80E-05,0,0
10.863,1.5442,0.30756,2.0426,0.35707,-3.04E-04,0,0
10.55,1.5436,0.30762,1.9544,0.32775,-3.83E-04,0,0
10.181,1.5431,0.30768,1.8528,0.29396,-2.01E-04,0,0
9.7439,1.5427,0.30773,1.735,0.25548,-3.03E-04,0,0
9.2138,1.5425,0.30775,1.5968,0.21175,4.09E-05,0,0
8.5496,1.5426,0.30774,1.4306,0.16334,-2.59E-04,0,0
7.6774,1.5431,0.30768,1.2245,0.10727,-3.82E-04,0,0
6.3845,1.5448,0.30749,0.94442,0.045832,-3.19E-05,0,0
4.5727,1.5486,0.30704,0.603,-0.0029098,2.23E-04,0,0
2.9422,1.5536,0.30647,0.34606,-0.019113,1.99E-04,0,0
1.5263,1.5592,0.30583,0.16088,-0.016303,-3.07E-04,0,0
0.24725,1.5648,0.30518,0.023375,-0.0060963,4.34E-04,0,0
0.91498,1.5705,0.30453,0.090905,-0.0086444,-3.66E-04,0,0
1.9804,1.5762,0.30387,0.21274,-0.02979,-3.48E-04,0,0
3.0425,1.5817,0.30325,0.35164,-0.057526,-4.81E-04,0,0
4.1598,1.5867,0.30268,0.51703,-0.087971,3.28E-04,0,0
5.1177,1.5902,0.30228,0.67504,-0.11194,-2.49E-04,0,0
5.9404,1.5926,0.30202,0.82302,-0.12998,1.74E-04,0,0
6.7048,1.5942,0.30183,0.9709,-0.14144,2.12E-04,0,0
7.4433,1.5955,0.30169,1.1234,-0.14691,-3.90E-04,0,0
8.1942,1.5963,0.3016,1.2883,-0.14609,-2.26E-04,0,0
8.9941,1.5966,0.30157,1.4754,-0.13566,4.47E-04,0,0
